first,last,email,phone
Trevor,Walker,lugir@jel.ps,(856) 413-8077
Gregory,Ford,gismeli@ovamiboh.ye,(775) 389-7399
Harry,Reid,tohuspu@zorwip.gh,(920) 957-6798
Willie,Moody,unumni@ocig.mw,(563) 695-8619
Miguel,McCoy,upe@huvih.hr,(352) 487-8875
Jerome,Morgan,limje@bofiis.nu,(264) 571-5678
Christian,Brooks,dak@rad.uy,(668) 417-1519
Mamie,Fuller,ehocoas@vuc.dk,(629) 810-2751
Birdie,Fitzgerald,zatahibef@ic.cr,(819) 367-8755
Sallie,Steele,wovdef@sonu.py,(783) 593-5954
Lilly,Stanley,sovep@udeetro.ca,(417) 914-5095
Ivan,Ferguson,ifa@va.tl,(761) 946-1550
"sam","Wal,ker","sample.google@sample.org","801-222-2222"
